Herr/Frau;Titel;Vorname;Name;Land;Fraktion;Mailadresse
;;Sérgio;GONÇALVES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sergio.goncalves@europarl.europa.eu
;;Nicolás;GONZÁLEZ CASARES;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nicolas.gonzalezcasares@europarl.europa.eu
;;Esteban;GONZÁLEZ PONS;Spanien;der Europäischen Volkspartei (Christdemokraten);esteban.gonzalezpons@europarl.europa.eu
;;Giorgio;GORI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;giorgio.gori@europarl.europa.eu
;;Małgorzata;GOSIEWSKA;Polen;der Europäischen Konservativen und Reformer;malgorzata.gosiewska@europarl.europa.eu
;;Dirk;GOTINK;Niederlande;der Europäischen Volkspartei (Christdemokraten);dirk.gotink@europarl.europa.eu
;;Sandro;GOZI;Frankreich;Renew Europe;sandro.gozi@europarl.europa.eu
;;Maria;GRAPINI;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;maria.grapini@europarl.europa.eu
;;Petras;GRAŽULIS;Litauen;Europa der Souveränen Nationen;petras.grazulis@europarl.europa.eu
;;Markéta;GREGOROVÁ;Tschechien;der Grünen / Freie Europäische Allianz;marketa.gregorova@europarl.europa.eu
;;Branko;GRIMS;Slowenien;der Europäischen Volkspartei (Christdemokraten);branko.grims@europarl.europa.eu
;;Catherine;GRISET;Frankreich;Patrioten für Europa;catherine.griset@europarl.europa.eu
;;Hanna;GRONKIEWICZ-WALTZ;Polen;der Europäischen Volkspartei (Christdemokraten);hanna.gronkiewiczwaltz@europarl.europa.eu
;;Bart;GROOTHUIS;Niederlande;Renew Europe;bart.groothuis@europarl.europa.eu
;;Elisabeth;GROSSMANN;Österreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;elisabeth.grossmann@europarl.europa.eu
;;Christophe;GRUDLER;Frankreich;Renew Europe;christophe.grudler@europarl.europa.eu
;;Elisabetta;GUALMINI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;elisabetta.gualmini@europarl.europa.eu
;;Cristina;GUARDA;Italien;der Grünen / Freie Europäische Allianz;cristina.guarda@europarl.europa.eu
;;Bernard;GUETTA;Frankreich;Renew Europe;bernard.guetta@europarl.europa.eu
;;Martin;GÜNTHER;Deutschland;Die Linke im Europäischen Parlament - GUE/NGL;martin.gunther@europarl.europa.eu
;;Maria;GUZENINA;Finnland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;maria.guzenina@europarl.europa.eu
;;Enikő;GYŐRI;Ungarn;Patrioten für Europa;eniko.gyori@europarl.europa.eu
;;András;GYÜRK;Ungarn;Patrioten für Europa;andras.gyurk@europarl.europa.eu
;;Michalis;HADJIPANTELA;Zypern;der Europäischen Volkspartei (Christdemokraten);michalis.hadjipantela@europarl.europa.eu
;;Svenja;HAHN;Deutschland;Renew Europe;svenja.hahn@europarl.europa.eu
;;Roman;HAIDER;Österreich;Patrioten für Europa;roman.haider@europarl.europa.eu
;;Andrzej;HALICKI;Polen;der Europäischen Volkspartei (Christdemokraten);andrzej.halicki@europarl.europa.eu
;;Niels Flemming;HANSEN;Dänemark;der Europäischen Volkspartei (Christdemokraten);nielsflemming.hansen@europarl.europa.eu
;;Rima;HASSAN;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;rima.hassan@europarl.europa.eu
;;Gerald;HAUSER;Österreich;Patrioten für Europa;gerald.hauser@europarl.europa.eu
;;Martin;HÄUSLING;Deutschland;der Grünen / Freie Europäische Allianz;martin.hausling@europarl.europa.eu
;;Mircea-Gheorghe;HAVA;Rumänien;der Europäischen Volkspartei (Christdemokraten);mircea-gheorghe.hava@europarl.europa.eu
;;Valérie;HAYER;Frankreich;Renew Europe;valerie.hayer@europarl.europa.eu
;;Anja;HAZEKAMP;Niederlande;Die Linke im Europäischen Parlament - GUE/NGL;anja.hazekamp@europarl.europa.eu
;;Hannes;HEIDE;Österreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;hannes.heide@europarl.europa.eu
;;Eero;HEINÄLUOMA;Finnland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;eero.heinaluoma@europarl.europa.eu
;;Anna-Maja;HENRIKSSON;Finnland;Renew Europe;anna-maja.henriksson@europarl.europa.eu
;;Niclas;HERBST;Deutschland;der Europäischen Volkspartei (Christdemokraten);niclas.herbst@europarl.europa.eu
;;Esther;HERRANZ GARCÍA;Spanien;der Europäischen Volkspartei (Christdemokraten);esther.herranzgarcia@europarl.europa.eu
;;Krzysztof;HETMAN;Polen;der Europäischen Volkspartei (Christdemokraten);krzysztof.hetman@europarl.europa.eu
;;Monika;HOHLMEIER;Deutschland;der Europäischen Volkspartei (Christdemokraten);monika.hohlmeier@europarl.europa.eu
;;Martin;HOJSÍK;Slowakei;Renew Europe;martin.hojsik@europarl.europa.eu
;;Pär;HOLMGREN;Schweden;der Grünen / Freie Europäische Allianz;par.holmgren@europarl.europa.eu
;;György;HÖLVÉNYI;Ungarn;Patrioten für Europa;gyorgy.holvenyi@europarl.europa.eu
;;Alicia;HOMS GINEL;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;alicia.homsginel@europarl.europa.eu
;;Sérgio;HUMBERTO;Portugal;der Europäischen Volkspartei (Christdemokraten);sergio.humberto@europarl.europa.eu
;;Ivars;IJABS;Lettland;Renew Europe;ivars.ijabs@europarl.europa.eu
;;Céline;IMART;Frankreich;der Europäischen Volkspartei (Christdemokraten);celine.imart@europarl.europa.eu
;;Evin;INCIR;Schweden;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;evin.incir@europarl.europa.eu
;;Paolo;INSELVINI;Italien;der Europäischen Konservativen und Reformer;paolo.inselvini@europarl.europa.eu
;;Diana;IOVANOVICI ŞOŞOACĂ;Rumänien;Fraktionslos;diana.iovanovicisosoaca@europarl.europa.eu
;;Patryk;JAKI;Polen;der Europäischen Konservativen und Reformer;patryk.jaki@europarl.europa.eu
;;Hana;JALLOUL MURO;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;hana.jalloulmuro@europarl.europa.eu
;;France;JAMET;Frankreich;Patrioten für Europa;france.jamet@europarl.europa.eu
;;Adam;JARUBAS;Polen;der Europäischen Volkspartei (Christdemokraten);adam.jarubas@europarl.europa.eu
;;Romana;JERKOVIĆ;Kroatien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;romana.jerkovic@europarl.europa.eu
;;Marc;JONGEN;Deutschland;Europa der Souveränen Nationen;marc.jongen@europarl.europa.eu
;;Dariusz;JOŃSKI;Polen;der Europäischen Volkspartei (Christdemokraten);dariusz.jonski@europarl.europa.eu
;;Virginie;JORON;Frankreich;Patrioten für Europa;virginie.joron@europarl.europa.eu
;;Pierre;JOUVET;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;pierre.jouvet@europarl.europa.eu
;;Irena;JOVEVA;Slowenien;Renew Europe;irena.joveva@europarl.europa.eu
;;Rasa;JUKNEVIČIENĖ;Litauen;der Europäischen Volkspartei (Christdemokraten);rasa.jukneviciene@europarl.europa.eu
;;Nora;JUNCO GARCÍA;Spanien;der Europäischen Konservativen und Reformer;nora.juncogarcia@europarl.europa.eu
;;Alexander;JUNGBLUTH;Deutschland;Europa der Souveränen Nationen;alexander.jungbluth@europarl.europa.eu
;;Taner;KABILOV;Bulgarien;Fraktionslos;taner.kabilov@europarl.europa.eu
;;François;KALFON;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;francois.kalfon@europarl.europa.eu
;;Erik;KALIŇÁK;Slowakei;Fraktionslos;erik.kalinak@europarl.europa.eu
;;Marina;KALJURAND;Estland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marina.kaljurand@europarl.europa.eu
;;Sandra;KALNIETE;Lettland;der Europäischen Volkspartei (Christdemokraten);sandra.kalniete@europarl.europa.eu
;;Mariusz;KAMIŃSKI;Polen;der Europäischen Konservativen und Reformer;mariusz.kaminski@europarl.europa.eu
;;Radan;KANEV;Bulgarien;der Europäischen Volkspartei (Christdemokraten);radan.kanev@europarl.europa.eu
;;Assita;KANKO;Belgien;der Europäischen Konservativen und Reformer;assita.kanko@europarl.europa.eu
;;Karin;KARLSBRO;Schweden;Renew Europe;karin.karlsbro@europarl.europa.eu
;;Fernand;KARTHEISER;Luxemburg;Fraktionslos;fernand.kartheiser@europarl.europa.eu
;;Ľubica;KARVAŠOVÁ;Slowakei;Renew Europe;lubica.karvasova@europarl.europa.eu
;;Elsi;KATAINEN;Finnland;Renew Europe;elsi.katainen@europarl.europa.eu
;;Emmanouil;KEFALOGIANNIS;Griechenland;der Europäischen Volkspartei (Christdemokraten);emmanouil.kefalogiannis@europarl.europa.eu
;;Billy;KELLEHER;Irland;Renew Europe;billy.kelleher@europarl.europa.eu
;;Fabienne;KELLER;Frankreich;Renew Europe;fabienne.keller@europarl.europa.eu
;;Seán;KELLY;Irland;der Europäischen Volkspartei (Christdemokraten);sean.kelly@europarl.europa.eu
;;Martine;KEMP;Luxemburg;der Europäischen Volkspartei (Christdemokraten);martine.kemp@europarl.europa.eu
;;Rudi;KENNES;Belgien;Die Linke im Europäischen Parlament - GUE/NGL;rudi.kennes@europarl.europa.eu
;;Mary;KHAN;Deutschland;Europa der Souveränen Nationen;mary.khan@europarl.europa.eu
;;Sophia;KIRCHER;Österreich;der Europäischen Volkspartei (Christdemokraten);sophia.kircher@europarl.europa.eu
;;Sarah;KNAFO;Frankreich;Europa der Souveränen Nationen;sarah.knafo@europarl.europa.eu
;;Ondřej;KNOTEK;Tschechien;Patrioten für Europa;ondrej.knotek@europarl.europa.eu
;;Jaroslav;KNOT;Tschechien;Patrioten für Europa;jaroslav.knot@europarl.europa.eu
;;Michał;KOBOSKO;Polen;Renew Europe;michal.kobosko@europarl.europa.eu
;;Stefan;KÖHLER;Deutschland;der Europäischen Volkspartei (Christdemokraten);stefan.kohler@europarl.europa.eu
;;Łukasz;KOHUT;Polen;der Europäischen Volkspartei (Christdemokraten);lukasz.kohut@europarl.europa.eu
;;Arba;KOKALARI;Schweden;der Europäischen Volkspartei (Christdemokraten);arba.kokalari@europarl.europa.eu
;;Ondřej;KOLÁŘ;Tschechien;der Europäischen Volkspartei (Christdemokraten);ondrej.kolar@europarl.europa.eu
;;Kinga;KOLLÁR;Ungarn;der Europäischen Volkspartei (Christdemokraten);kinga.kollar@europarl.europa.eu
;;Rihards;KOLS;Lettland;der Europäischen Konservativen und Reformer;rihards.kols@europarl.europa.eu
;;Kateřina;KONEČNÁ;Tschechien;Fraktionslos;katerina.konecna@europarl.europa.eu
;;Ewa;KOPACZ;Polen;der Europäischen Volkspartei (Christdemokraten);ewa.kopacz@europarl.europa.eu
;;Moritz;KÖRNER;Deutschland;Renew Europe;moritz.korner@europarl.europa.eu
;;Elena;KOUNTOURA;Griechenland;Die Linke im Europäischen Parlament - GUE/NGL;elena.kountoura@europarl.europa.eu
;;Andrey;KOVATCHEV;Bulgarien;der Europäischen Volkspartei (Christdemokraten);andrey.kovatchev@europarl.europa.eu
;;Vilis;KRIŠTOPANS;Lettland;Patrioten für Europa;vilis.kristopans@europarl.europa.eu
;;Sebastian;KRUIS;Niederlande;Patrioten für Europa;sebastian.kruis@europarl.europa.eu
;;Ondřej;KRUTÍLEK;Tschechien;der Europäischen Konservativen und Reformer;ondrej.krutilek@europarl.europa.eu
;;Tomáš;KUBÍN;Tschechien;Patrioten für Europa;tomas.kubin@europarl.europa.eu
;;Alice;KUHNKE;Schweden;der Grünen / Freie Europäische Allianz;alice.kuhnke@europarl.europa.eu
;;András Tivadar;KULJA;Ungarn;der Europäischen Volkspartei (Christdemokraten);andrastivadar.kulja@europarl.europa.eu
;;Katri;KULMUNI;Finnland;Renew Europe;katri.kulmuni@europarl.europa.eu
;;Merja;KYLLÖNEN;Finnland;Die Linke im Europäischen Parlament - GUE/NGL;merja.kyllonen@europarl.europa.eu
;;Ilhan;KYUCHYUK;Bulgarien;Renew Europe;ilhan.kyuchyuk@europarl.europa.eu
;;Sergey;LAGODINSKY;Deutschland;der Grünen / Freie Europäische Allianz;sergey.lagodinsky@europarl.europa.eu
;;Eszter;LAKOS;Ungarn;der Europäischen Volkspartei (Christdemokraten);eszter.lakos@europarl.europa.eu
;;Aurore;LALUCQ;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;aurore.lalucq@europarl.europa.eu
;;Bernd;LANGE;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;bernd.lange@europarl.europa.eu
;;Katrin;LANGENSIEPEN;Deutschland;der Grünen / Freie Europäische Allianz;katrin.langensiepen@europarl.europa.eu
;;Judita;LAŠŠÁKOVÁ;Slowakei;Fraktionslos;judita.lassakova@europarl.europa.eu
;;András;LÁSZLÓ;Ungarn;Patrioten für Europa;andras.laszlo@europarl.europa.eu
;;Afroditi;LATINOPOULOU;Griechenland;Patrioten für Europa;afroditi.latinopoulou@europarl.europa.eu
;;Murielle;LAURENT;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;murielle.laurent@europarl.europa.eu
;;Camilla;LAURETI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;camilla.laureti@europarl.europa.eu
;;Rada;LAYKOVA;Bulgarien;Europa der Souveränen Nationen;rada.laykova@europarl.europa.eu
;;Ilia;LAZAROV;Bulgarien;der Europäischen Volkspartei (Christdemokraten);ilia.lazarov@europarl.europa.eu
;;Luis-Vicențiu;LAZARUS;Rumänien;Fraktionslos;luis-vicentiu.lazarus@europarl.europa.eu
;;Isabelle;LE CALLENNEC;Frankreich;der Europäischen Volkspartei (Christdemokraten);isabelle.lecallennec@europarl.europa.eu
;;Fabrice;LEGGERI;Frankreich;Patrioten für Europa;fabrice.leggeri@europarl.europa.eu
;;Jeroen;LENAERS;Niederlande;der Europäischen Volkspartei (Christdemokraten);jeroen.lenaers@europarl.europa.eu
;;Julien;LEONARDELLI;Frankreich;Patrioten für Europa;julien.leonardelli@europarl.europa.eu
;;Janusz;LEWANDOWSKI;Polen;der Europäischen Volkspartei (Christdemokraten);janusz.lewandowski@europarl.europa.eu
;;Miriam;LEXMANN;Slowakei;der Europäischen Volkspartei (Christdemokraten);miriam.lexmann@europarl.europa.eu
;;Peter;LIESE;Deutschland;der Europäischen Volkspartei (Christdemokraten);peter.liese@europarl.europa.eu
;;Norbert;LINS;Deutschland;der Europäischen Volkspartei (Christdemokraten);norbert.lins@europarl.europa.eu
;;Nathalie;LOISEAU;Frankreich;Renew Europe;nathalie.loiseau@europarl.europa.eu
;;Morten;LØKKEGAARD;Dänemark;Renew Europe;morten.lokkegaard@europarl.europa.eu
;;Reinhold;LOPATKA;Österreich;der Europäischen Volkspartei (Christdemokraten);reinhold.lopatka@europarl.europa.eu
;;Javi;LÓPEZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;javi.lopez@europarl.europa.eu
;;Juan Fernando;LÓPEZ AGUILAR;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;juanfernando.lopezaguilar@europarl.europa.eu
;;Antonio;LÓPEZ-ISTÚRIZ WHITE;Spanien;der Europäischen Volkspartei (Christdemokraten);antonio.lopezisturizwhite@europarl.europa.eu
;;Isabella;LÖVIN;Schweden;der Grünen / Freie Europäische Allianz;isabella.lovin@europarl.europa.eu
;;Mimmo;LUCANO;Italien;Die Linke im Europäischen Parlament - GUE/NGL;mimmo.lucano@europarl.europa.eu
;;César;LUENA;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;cesar.luena@europarl.europa.eu
;;Elżbieta Katarzyna;ŁUKACIJEWSKA;Polen;der Europäischen Volkspartei (Christdemokraten);elzbietakatarzyna.lukacijewska@europarl.europa.eu
;;Giuseppe;LUPO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;giuseppe.lupo@europarl.europa.eu
;;David;MCALLISTER;Deutschland;der Europäischen Volkspartei (Christdemokraten);david.mcallister@europarl.europa.eu
;;Jaak;MADISON;Estland;der Europäischen Konservativen und Reformer;jaak.madison@europarl.europa.eu
;;Cristina;MAESTRE;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;cristina.maestre@europarl.europa.eu
;;Lara;MAGONI;Italien;der Europäischen Konservativen und Reformer;lara.magoni@europarl.europa.eu
;;Péter;MAGYAR;Ungarn;der Europäischen Volkspartei (Christdemokraten);peter.magyar@europarl.europa.eu
;;Marit;MAIJ;Niederlande;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marit.maij@europarl.europa.eu
;;Marlena;MALĄG;Polen;der Europäischen Konservativen und Reformer;marlena.malag@europarl.europa.eu
;;Claudiu;MANDA;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;claudiu.manda@europarl.europa.eu
;;Lukas;MANDL;Österreich;der Europäischen Volkspartei (Christdemokraten);lukas.mandl@europarl.europa.eu
;;Yannis;MANIATIS;Griechenland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;yannis.maniatis@europarl.europa.eu
;;Mario;MANTOVANI;Italien;der Europäischen Konservativen und Reformer;mario.mantovani@europarl.europa.eu
;;Pierfrancesco;MARAN;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;pierfrancesco.maran@europarl.europa.eu
;;Jagna;MARCZUŁAJTIS-WALCZAK;Polen;der Europäischen Volkspartei (Christdemokraten);jagna.marczulajtiswalczak@europarl.europa.eu
;;Marion;MARÉCHAL;Frankreich;der Europäischen Konservativen und Reformer;marion.marechal@europarl.europa.eu
;;Thierry;MARIANI;Frankreich;Patrioten für Europa;thierry.mariani@europarl.europa.eu
;;Ignazio Roberto;MARINO;Italien;der Grünen / Freie Europäische Allianz;ignazioroberto.marino@europarl.europa.eu
;;Erik;MARQUARDT;Deutschland;der Grünen / Freie Europäische Allianz;erik.marquardt@europarl.europa.eu
;;Jorge;MARTÍN FRÍAS;Spanien;Patrioten für Europa;jorge.martinfrias@europarl.europa.eu
;;Catarina;MARTINS;Portugal;Die Linke im Europäischen Parlament - GUE/NGL;catarina.martins@europarl.europa.eu
;;Fulvio;MARTUSCIELLO;Italien;der Europäischen Volkspartei (Christdemokraten);fulvio.martusciello@europarl.europa.eu
;;Vicent;MARZÀ IBÁÑEZ;Spanien;der Grünen / Freie Europäische Allianz;vicent.marzaibanez@europarl.europa.eu
;;Gabriel;MATO;Spanien;der Europäischen Volkspartei (Christdemokraten);gabriel.mato@europarl.europa.eu
;;Sara;MATTHIEU;Belgien;der Grünen / Freie Europäische Allianz;sara.matthieu@europarl.europa.eu
;;Costas;MAVRIDES;Zypern;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;costas.mavrides@europarl.europa.eu
;;Eva;MAYDELL;Bulgarien;der Europäischen Volkspartei (Christdemokraten);eva.maydell@europarl.europa.eu
;;Georg;MAYER;Österreich;Patrioten für Europa;georg.mayer@europarl.europa.eu
;;Milan;MAZUREK;Slowakei;Europa der Souveränen Nationen;milan.mazurek@europarl.europa.eu
;;Liudas;MAŽYLIS;Litauen;der Europäischen Volkspartei (Christdemokraten);liudas.mazylis@europarl.europa.eu
;;Michael;MCNAMARA;Irland;Renew Europe;michael.mcnamara@europarl.europa.eu
;;Nora;MEBAREK;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nora.mebarek@europarl.europa.eu
;;Alexandra;MEHNERT;Deutschland;der Europäischen Volkspartei (Christdemokraten);alexandra.mehnert@europarl.europa.eu
;;Vangelis;MEIMARAKIS;Griechenland;der Europäischen Volkspartei (Christdemokraten);vangelis.meimarakis@europarl.europa.eu
;;Eleonora;MELETI;Griechenland;der Europäischen Volkspartei (Christdemokraten);eleonora.meleti@europarl.europa.eu
;;Ana Catarina;MENDES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;anacatarina.mendes@europarl.europa.eu
;;Idoia;MENDIA;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;idoia.mendia@europarl.europa.eu
;;Verena;MERTENS;Deutschland;der Europäischen Volkspartei (Christdemokraten);verena.mertens@europarl.europa.eu
;;Marina;MESURE;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;marina.mesure@europarl.europa.eu
;;Roberta;METSOLA;Malta;der Europäischen Volkspartei (Christdemokraten);roberta.metsola@europarl.europa.eu
;;Tilly;METZ;Luxemburg;der Grünen / Freie Europäische Allianz;tilly.metz@europarl.europa.eu
;;Sven;MIKSER;Estland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sven.mikser@europarl.europa.eu
;;Giuseppe;MILAZZO;Italien;der Europäischen Konservativen und Reformer;giuseppe.milazzo@europarl.europa.eu
;;Francisco José;MILLÁN MON;Spanien;der Europäischen Volkspartei (Christdemokraten);franciscojose.millanmon@europarl.europa.eu
;;Nikola;MINCHEV;Bulgarien;Renew Europe;nikola.minchev@europarl.europa.eu
;;Ana;MIRANDA PAZ;Spanien;der Grünen / Freie Europäische Allianz;ana.mirandapaz@europarl.europa.eu
;;Csaba;MOLNÁR;Ungarn;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;csaba.molnar@europarl.europa.eu
;;Irene;MONTERO;Spanien;Die Linke im Europäischen Parlament - GUE/NGL;irene.montero@europarl.europa.eu
;;Dolors;MONTSERRAT;Spanien;der Europäischen Volkspartei (Christdemokraten);dolors.montserrat@europarl.europa.eu
;;Carolina;MORACE;Italien;Die Linke im Europäischen Parlament - GUE/NGL;carolina.morace@europarl.europa.eu
;;Nadine;MORANO;Frankreich;der Europäischen Volkspartei (Christdemokraten);nadine.morano@europarl.europa.eu
;;Letizia;MORATTI;Italien;der Europäischen Volkspartei (Christdemokraten);letizia.moratti@europarl.europa.eu
;;Tiago;MOREIRA DE SÁ;Portugal;Patrioten für Europa;tiago.moreiradesa@europarl.europa.eu
;;Javier;MORENO SÁNCHEZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;javier.morenosanchez@europarl.europa.eu
;;Alessandra;MORETTI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;alessandra.moretti@europarl.europa.eu
;;Dan-Ştefan;MOTREANU;Rumänien;der Europäischen Volkspartei (Christdemokraten);dan-stefan.motreanu@europarl.europa.eu
;;Arkadiusz;MULARCZYK;Polen;der Europäischen Konservativen und Reformer;arkadiusz.mularczyk@europarl.europa.eu
;;Piotr;MÜLLER;Polen;der Europäischen Konservativen und Reformer;piotr.muller@europarl.europa.eu
;;Ciaran;MULLOOLY;Irland;Renew Europe;ciaran.mullooly@europarl.europa.eu
;;Siegfried;MUREŞAN;Rumänien;der Europäischen Volkspartei (Christdemokraten);siegfried.muresan@europarl.europa.eu
;;Ştefan;MUŞOIU;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;stefan.musoiu@europarl.europa.eu
;;Jana;NAGYOVÁ;Tschechien;Patrioten für Europa;jana.nagyova@europarl.europa.eu
;;Dario;NARDELLA;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;dario.nardella@europarl.europa.eu
;;Fernando;NAVARRETE ROJAS;Spanien;der Europäischen Volkspartei (Christdemokraten);fernando.navarreterojas@europarl.europa.eu
;;Victor;NEGRESCU;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;victor.negrescu@europarl.europa.eu
;;Matjaž;NEMEC;Slowenien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;matjaz.nemec@europarl.europa.eu
;;Danuše;NERUDOVÁ;Tschechien;der Europäischen Volkspartei (Christdemokraten);danuse.nerudova@europarl.europa.eu
;;Denis;NESCI;Italien;der Europäischen Konservativen und Reformer;denis.nesci@europarl.europa.eu
;;Hans;NEUHOFF;Deutschland;Europa der Souveränen Nationen;hans.neuhoff@europarl.europa.eu
;;Hannah;NEUMANN;Deutschland;der Grünen / Freie Europäische Allianz;hannah.neumann@europarl.europa.eu
;;Elena;NEVADO DEL CAMPO;Spanien;der Europäischen Volkspartei (Christdemokraten);elena.nevadodelcampo@europarl.europa.eu
;;Dan;NICA;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;dan.nica@europarl.europa.eu
;;Angelika;NIEBLER;Deutschland;der Europäischen Volkspartei (Christdemokraten);angelika.niebler@europarl.europa.eu
;;Luděk;NIEDERMAYER;Tschechien;der Europäischen Volkspartei (Christdemokraten);ludek.niedermayer@europarl.europa.eu
;;Ville;NIINISTÖ;Finnland;der Grünen / Freie Europäische Allianz;ville.niinisto@europarl.europa.eu
;;Lefteris;NIKOLAOU-ALAVANOS;Griechenland;Fraktionslos;lefteris.nikolaoualavanos@europarl.europa.eu
;;Aleksandar;NIKOLIC;Frankreich;Patrioten für Europa;aleksandar.nikolic@europarl.europa.eu
;;Cynthia;NÍ MHURCHÚ;Irland;Renew Europe;cynthia.nimhurchu@europarl.europa.eu
;;Maria;NOICHL;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;maria.noichl@europarl.europa.eu
;;Rasmus;NORDQVIST;Dänemark;der Grünen / Freie Europäische Allianz;rasmus.nordqvist@europarl.europa.eu
;;Andrey;NOVAKOV;Bulgarien;der Europäischen Volkspartei (Christdemokraten);andrey.novakov@europarl.europa.eu
;;Mirosława;NYKIEL;Polen;der Europäischen Volkspartei (Christdemokraten);miroslawa.nykiel@europarl.europa.eu
;;Daniel;OBAJTEK;Polen;der Europäischen Konservativen und Reformer;daniel.obajtek@europarl.europa.eu
;;Ľudovít;ÓDOR;Slowakei;Renew Europe;ludovit.odor@europarl.europa.eu
;;Jan-Christoph;OETJEN;Deutschland;Renew Europe;jan-christoph.oetjen@europarl.europa.eu
;;Maria;OHISALO;Finnland;der Grünen / Freie Europäische Allianz;maria.ohisalo@europarl.europa.eu
;;João;OLIVEIRA;Portugal;Die Linke im Europäischen Parlament - GUE/NGL;joao.oliveira@europarl.europa.eu
;;Philippe;OLIVIER;Frankreich;Patrioten für Europa;philippe.olivier@europarl.europa.eu
;;Younous;OMARJEE;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;younous.omarjee@europarl.europa.eu
;;Branislav;ONDRUŠ;Slowakei;Fraktionslos;branislav.ondrus@europarl.europa.eu
;;Aodhán;Ó RÍORDÁIN;Irland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;aodhan.oriordain@europarl.europa.eu
;;Leoluca;ORLANDO;Italien;der Grünen / Freie Europäische Allianz;leoluca.orlando@europarl.europa.eu
;;Jacek;OZDOBA;Polen;der Europäischen Konservativen und Reformer;jacek.ozdoba@europarl.europa.eu
;;Urmas;PAET;Estland;Renew Europe;urmas.paet@europarl.europa.eu
;;Leire;PAJÍN;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;leire.pajin@europarl.europa.eu
;;Valentina;PALMISANO;Italien;Die Linke im Europäischen Parlament - GUE/NGL;valentina.palmisano@europarl.europa.eu
;;Fidias;PANAYIOTOU;Zypern;Fraktionslos;fidias.panayiotou@europarl.europa.eu
;;Kostas;PAPADAKIS;Griechenland;Fraktionslos;kostas.papadakis@europarl.europa.eu
;;Nikos;PAPANDREOU;Griechenland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nikos.papandreou@europarl.europa.eu
;;Nikos;PAPPAS;Griechenland;Die Linke im Europäischen Parlament - GUE/NGL;nikos.pappas@europarl.europa.eu
;;Nicolás;PASCUAL DE LA PARTE;Spanien;der Europäischen Volkspartei (Christdemokraten);nicolas.pascualdelaparte@europarl.europa.eu
